지원금명,상태,카테고리,지역,신청기간,지원내용,상세URL
「2023년 경남 고성 한 달 살아보기」 (2차),마감,살아보기,경남 고성군,2023년 6월 5일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/5d83ba39-07fe-4897-bee8-0d30883ff322
2023년 경남에서 한 달 여행하기(한달음 남해) (1차),마감,살아보기,경남 남해군,2023년 4월 1일 ~ 2023년 5월 20일,"- 숙박비 1일 40,000원",https://www.masil.io/programs/db9b66a5-b629-458c-b636-b253ec4c51fc
2023년 경남에서 한 달 여행하기(한달음 남해) (2차),마감,살아보기,경남 남해군,2023년 7월 1일 ~ 2023년 8월 20일,"- 숙박비 1일 40,000원",https://www.masil.io/programs/b3fda85d-2e65-44d5-ba2e-c8a68c6e383b
"「하동으로, 여행 가자!(경남에서 한 달 여행하기)」 (1차)",마감,살아보기,경남 하동군,2023년 4월 17일 ~ 2023년 6월 23일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/dffd373a-cdf3-4f7d-b55a-6d1a54c6347b
"「하동으로, 여행 가자!(경남에서 한 달 여행하기)」 (2차)",마감,살아보기,경남 하동군,2023년 7월 17일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/3495bfb8-5778-4053-98f4-ab086cb56bed
"「하동으로, 여행 가자!(경남에서 한 달 여행하기)」 (2차 추가 모집)",마감,살아보기,경남 하동군,2023년 8월 2일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/db3eec37-008f-4a32-b624-f0111e7060cf
"경남에서 한 달 여행하기 사업 ‘Wellnessmate, 산청’ (1차)",마감,살아보기,경남 산청군,2023년 4월 1일 ~ 2023년 6월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/0cf71368-c34d-496c-be8c-90e2adf2b2c3
"경남에서 한 달 여행하기 사업 ‘Wellnessmate, 산청’ (2차)",마감,살아보기,경남 산청군,2023년 7월 1일 ~ 2023년 8월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/bbb45ac4-00b9-425b-a452-cee69c97b6f7
내가 그린 함양에서 한 달 여행하기 (1차),마감,살아보기,경남 함양군,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/fbafdd1d-9860-4471-9813-f8e1cb3047e0
"‘일상 속 쉼표하나, 웰니스! 거창여행’ (1차)",마감,한달살기,경남 거창군,2023년 4월 10일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/11fe9e07-dbfd-4bcb-8df1-13217d1ca54f
"‘일상 속 쉼표하나, 웰니스! 거창여행’ (2차)",마감,한달살기,경남 거창군,2023년 7월 10일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/be38c12f-172e-4ddf-9668-b463c293fd94
"‘일상 속 쉼표하나, 웰니스! 거창여행’ (3차)",마감,한달살기,경남 거창군,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/56899f50-6a65-4a6a-bfe8-e03f5fbf48e8
2023 『드라마틱 합천 여행하기』 (1차),마감,한달살기,경남 합천군,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/803550a5-50dc-4a6d-a343-dd74fff3c607
2023 『드라마틱 합천 여행하기』 (2차),마감,한달살기,경남 합천군,2023년 7월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/41137b29-92d4-4dbc-9509-b29aabddba3a
2023 『드라마틱 합천 여행하기』 (3차),마감,한달살기,경남 합천군,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/a445efef-6732-4806-9b85-e9e5a3f45ae7
『제천에서 일주일 살아보기 2023』,마감,살아보기,충북 제천시,2023년 4월 1일 ~ 2023년 12월 31일,"- 숙박비 1일 40,000원",https://www.masil.io/programs/c0c424ce-8cc9-4540-86fc-fced86105104
2023년도 『경주에서 한 달 살아보기』 (1차),마감,살아보기,경북 경주시,2023년 4월 1일 ~ 2023년 6월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/1c973901-fd73-4df1-8f65-150729607572
2023년도 『경주에서 한 달 살아보기』 (2차),마감,살아보기,경북 경주시,2023년 8월 1일 ~ 2023년 10월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/36b4a9ce-dd82-4d18-ac0c-9b16c8f9282b
[영주] 2023년 일주일 살아보기 프로그램,마감,살아보기,경북 영주시,2023년 3월 1일 ~ 2023년 12월 31일,"- 숙박비 1일 30,000원",https://www.masil.io/programs/1b968d52-a2aa-421c-8e3e-081fb11db85a
달빛탐사대,마감,한달살기,경북 문경시,2023년 08월 예정,문경살이 체험·숙소·취업·창업 연계 프로그램 지원,https://www.masil.io/programs/8a3bf9d7-c648-42b6-86a6-1208dacd7bd7
의성군 한 달 살기 프로그램,마감,살아보기,경북 의성군,2023년 08월 예정,확인필요,https://www.masil.io/programs/b58c977a-1c2a-4233-8524-c326f6fa49d8
2023 양평에서 일주일 여행하기 (1차),마감,살아보기,경기 양평군,2023년 6월 5일 ~ 2023년 7월 31일,"- 숙박비 1일 100,000원 한도 내 총 숙박비의 70% 지원",https://www.masil.io/programs/f1b30f59-4c5a-4482-895e-41eaceca8543
2023 양평에서 일주일 여행하기 (2차),마감,살아보기,경기 양평군,2023년 9월 4일 ~ 2023년 10월 31일,"- 숙박비 1일 100,000원 한도 내 총 숙박비의 70% 지원",https://www.masil.io/programs/7623509b-2815-4d42-9437-23c172d8d63a
「목포·신안을 렌즈에 담다 ! 목포 일주일살기 1회차」,마감,살아보기,전남 목포시,2023년 7월 7일 ~ 2023년 7월 13일,"- 숙박비 1일 60,000원 한도 내 숙박비의 최대 80% 지원",https://www.masil.io/programs/f6d88cf3-8770-47a6-890a-ae5741f48858
「목포·신안은 사랑을 싣고 ! 목포·신안 일주일살기 2회차」,마감,살아보기,전남 목포시,2023년 7월 25일 ~ 2023년 7월 31일,"- 숙박비 1일 60,000원 한도 내 숙박비의 최대 80% 지원",https://www.masil.io/programs/b71a8184-7c32-4edc-8d93-99089a97719a
「목포·신안에서 일주일살기 MZ세대의 신안·천사 섬캉스 3회차」,마감,살아보기,전남 목포시,2023년 8월 18일 ~ 2023년 8월 24일,"- 숙박비 1일 50,000원 한도 내 숙박비의 최대 80% 지원",https://www.masil.io/programs/6f8c20bb-dcd7-4003-b743-a081b3c4ca22
「The Golden Hour 로맨틱 목포·신안 일주일살기 4회차」,마감,살아보기,전남 목포시,2023년 9월 11일 ~ 2023년 9월 17일,"- 숙박비 1일 50,000원 한도 내 숙박비의 최대 80% 지원",https://www.masil.io/programs/249b6ff8-c5df-40af-9aad-c159c24f8462
2023 진도에서 한 달 여행하기,마감,살아보기,전남 진도군,2023.05.09 ~ 2023.05.16,"- 숙박비 1일 80,000원",https://www.masil.io/programs/92b98e4e-0c0d-4538-b093-646fa99daddd
2023년 남도에서 한 달 여행하기 in 여수,마감,살아보기,전남 여수시,2023년 4월 1일 ~ 2023년 10월 31일,"- 숙박비 1일 50,000원 한도 내 숙박비의 최대 80% 지원",https://www.masil.io/programs/7217d736-74c8-4a59-9af2-c0cf33fc6f29
순천에서 가치 여행,마감,한달살기,전남 순천시,2023년 5월 1일 ~ 2023년 9월 30일,"- 숙박비 1일 80,000원",https://www.masil.io/programs/393ab0b7-3352-4616-b608-566d6be1b7b4
2023. 남도에서 한 달 여행하기,마감,살아보기,전남 광양시,2023.06.02 ~ 2023.06.16,"- 숙박비 1일 80,000원",https://www.masil.io/programs/67eafa3d-247e-42c0-a778-fb6dda039594
담양에서 일주일 여행하기,마감,살아보기,전남 담양군,2023년 4월 4일 ~ 2023년 12월 31일,"- 숙박비 1일 80,000원",https://www.masil.io/programs/77db8608-fc95-43ae-9778-d97425fe1e79
2023 구례에서 한 달 여행하기,마감,살아보기,전남 구례군,2023.04.24 ~ 2023.05.04,"- 숙박비 1일 80,000원",https://www.masil.io/programs/ca2448d9-7c53-43d7-8d98-5c53573d1df4
2023 보령 한달살이(여름-보령이랑 같이 살기),마감,살아보기,충남 보령시,2023년 6월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 70,000원",https://www.masil.io/programs/94973929-4ed1-4c01-abfb-0b2b198b5334
"2023 남도에서 한 달 여행하기,「고흥에 머뭄」",마감,살아보기,전남 고흥군,2023년 4월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 80,000원",https://www.masil.io/programs/00adc1ab-6ac3-4825-a3c9-adae689b77e3
2023 남도에서(강진) 한 달 여행하기,마감,살아보기,전남 강진군,2023년 6월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 80,000원",https://www.masil.io/programs/05a9ffbf-d5e1-42d2-8716-6fae7e062ec3
2023년 남도에서 한 달 여행하기,마감,살아보기,전남 해남군,2023.04.07 ~ 2023.04.28,"- 숙박비 1일 80,000원",https://www.masil.io/programs/88238db2-88e5-47d6-9b44-67b8cfa82518
‘남도에서 한 달 여행하기 in 함평’,마감,살아보기,전남 함평군,2024.04.13 ~ 2024.04.26,"- 숙박비 1일 80,000원",https://www.masil.io/programs/0ffd4031-e526-4825-9a20-2bd8eeed2649
2023 남도에서 한 달 여행하기,마감,살아보기,전남 완도군,2023.06.14 ~ 2023.07.02,"- 숙박비 1일 80,000원",https://www.masil.io/programs/b432ede1-afee-4fa4-8b8b-194576f4bc36
2023년 서산에서 일주일 살아보기 및 워케이션 제1기,마감,워케이션,충남 서산시,2023년 4월 1일 ~ 2023년 5월 29일,"- 숙박비 1일 60,000원",https://www.masil.io/programs/95440d0f-919a-4720-95b4-0255ea9f9884
2023년 서산에서 일주일 살아보기 및 워케이션 제2기,마감,워케이션,충남 서산시,2023년 6월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 60,000원",https://www.masil.io/programs/72793e98-7d13-4b2c-a708-30fef1f05c6d
금산에서 일주일 살아보기 4기,마감,살아보기,충남 금산군,2023년 10월 13일 ~ 2023년 10월 19일,"- 참가비 1인 100,000원",https://www.masil.io/programs/75e7ebad-7dd7-4fd5-b8c2-962b9a200ba7
2023년 홍성군 한달살이 (1차),마감,살아보기,충남 홍성군,2023.06.09 ~ 2023.06.13,"- 숙박비 1일 70,000원",https://www.masil.io/programs/40cb6636-1dc3-4613-8c20-184623ea7e50
2023 태안에서 한달살이,마감,살아보기,충남 태안군,2023년 9월 4일 ~ 2023년 12월 31일,"- 숙박비 1일 1팀당 70,000원",https://www.masil.io/programs/90306697-892b-4077-b725-10a82405697f
2023년 꿀잼대전 힐링캠프 (3차),마감,투어/체험,대전,2023년 9월 16일 ~ 2023년 8월 17일,"- 대한민국 국민 누구나 참여 - 참가비 1인 10,000원",https://www.masil.io/programs/ec722a82-2426-4ca8-a7d1-001e48d24415
"한달 살아보니, 살기좋은 부산",마감,살아보기,부산광역시,2023.05.01 ~ 2023.05.21,"- 숙박비 1일 50,000원",https://www.masil.io/programs/8dc5b0e7-51ca-401f-8870-ff9b23529c59
"한달 살아보니, 살기좋은 부산 (2차)",마감,살아보기,부산,2023년 9월 1일 ~ 2023년 10월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/a8e99534-7e69-4781-8146-10f1a4c4ad87
2023년 서산에서 일주일 살아보기 및 워케이션 제3기,마감,워케이션,충남 서산시,2023년 9월 1일 ~ 2023년 10월 31일,"- 숙박비 1일 60,000원",https://www.masil.io/programs/6fbeab8f-ea29-4536-a643-8c01df1db2d5
2023 보령 한달살이(가을편),마감,살아보기,충남 보령시,2023년 9월 20일 ~ 2023년 11월 20일,"- 숙박비 1일 70,000원",https://www.masil.io/programs/67518de0-e67c-4cf6-ba8d-d8b6b1c57284
"지금 우리, 보성여행(남도에서 한 달 여행하기)",마감,살아보기,전남 보성군,2023년 4월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 80,000원",https://www.masil.io/programs/1b5fd621-6a07-4854-ad4b-92ab45a09390
「The Golden Hour 로맨틱 목포·신안 일주일살기 5회차」,마감,살아보기,전남 목포시,2023년 9월 14일 ~ 2023년 9월 20일,"- 숙박비 1일 50,000원 한도 내 숙박비의 최대 80% 지원",https://www.masil.io/programs/75c31efd-1492-48c8-af3b-a655a3b96a30
"2023년 「here, UR 여기, 의령에서 한 달 여행하기」 (3차)",마감,살아보기,경남 의령군,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/d49cefa6-5dc1-4f1b-8d5f-1f1f9c34043c
"「하동으로, 여행 가자!(경남에서 한 달 여행하기)」 (3차)",마감,살아보기,경남 하동군,2023년 9월 12일 ~ 2023년 10월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/1f7d24ef-a40b-4417-a675-c4ea823fb357
2023년 홍성군 한달살이 (2차),마감,살아보기,충남 홍성군,2023.08.28 ~ 2023.09.06,"- 숙박비 1일 70,000원",https://www.masil.io/programs/46f47085-5138-438c-8c76-3aea2e28dd36
"남해독일마을 2박3일 캠프 (활동비, 숙박비, 식사비 지원)",마감,투어/체험,경남 남해군,2023.09.08 ~ 2023.09.10,"1인당 활동비 150,000원 + 숙박 + 식사 + 남해 바닷가 투어·독일음식·맥주·마을체험 지원",https://www.masil.io/programs/31b026e1-dfbb-4020-975f-4414514a00e1
옥천 디주투어,마감,투어/체험,충북 옥천군,2023.06.26 ~ 2023.09.10,"1인당 3만원, 최대 6인(팀 최대 18만원)",https://www.masil.io/programs/257540f0-662b-4a7d-9c61-6d8ed3c63600
충주에서 일주일 살기 「오소(O-SO) 충주」,마감,살아보기,충북 충주시,2023년 2월 1일 ~ 2023년 11월 15일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/130207e6-0dbc-4e49-b785-3e8f3011c99f
"경남에서 한 달 여행하기 사업 ‘Wellnessmate, 산청’ (3차)",마감,살아보기,경남 산청군,2023년 9월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/d177cf85-43e0-49b2-b3ab-9e9e1d7c2bfd
영월에서 일주일 살기 Check in 영월,마감,살아보기,강원 영월군,2023년 7월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원 (인원 수에 따라 다름)",https://www.masil.io/programs/638501df-ce36-415c-9fd1-7831747af9c6
삼척 한 달 여행하기,마감,살아보기,강원 삼척시,2023년 6월 5일 ~ 2023년 11월 30일,"- 숙박비 1일 40,000 ~ 60,000원",https://www.masil.io/programs/c282f67b-2a0d-4642-a6a1-c401a03ba5c7
2023년 귀농·귀촌유치 지원사업(태백 한 달 살기),마감,귀농/귀촌,강원 태백시,2023년 8월 21일 ~ 2023년 10월 20일,"- 숙박비 1일 40,000원",https://www.masil.io/programs/d86ed722-e17d-4748-b0c4-bf6812f82fa1
안동시 「2023 개별 관광객 유치 지원사업」,마감,한달살기,경북,2023년 6월 19일 ~ 2023년 12월 22일,숙박요금에 따라 2만원·3만원·4만원 할인,https://www.masil.io/programs/540352a5-5651-4271-9f53-3ea041bc181c
단양 야간 미션투어,마감,미션,충북,2023년 8월 25일 ~ 2023년 12월 22일,필수 미션 완료 시 1팀당 10만원 지급,https://www.masil.io/programs/82b43f3a-8c55-4ba9-970e-2da08050fc71
2023년 군산시 어청도 팸투어 참여대상자 모집,마감,투어/체험,전북,2023년 9월 4일 ~ 2023년 12월 10일,어청도 팸투어 여행경비 지원,https://www.masil.io/programs/1e222850-9e8f-479e-a32d-8134677cff43
"구룸, 변산에 머뭄",마감,한달살기,전북 부안군,2023.06.02 ~ 상시모집,2주간 무료 숙식 + 농촌·문화예술 체험 및 지역 네트워크 프로그램 제공,https://www.masil.io/programs/4c4b84f3-b9db-4d47-aeb8-bb14b49df222
경북 동해안 5개 시군 일주일 살기,마감,살아보기,경북,2023년 8월 23일 ~ 2023년 11월 30일,숙박 팀당 1박 3만원(최대 6박) + 체험 1인 1일 최대 3만원(최대 3일),https://www.masil.io/programs/2a037d4e-dba9-4052-b969-ad0c9d19a517
일상관광프로그램 2도1촌 진주잇고 (2차),마감,한달살기,경남 진주시,2023년 11월 18일 ~ 2023년 11월 19일,토요일 숙박 제공 + K기업가 제품·다도 체험 및 진주문화융합 밀키트 체험 제공,https://www.masil.io/programs/d61f0636-57ea-4d0c-a762-b9f005218390
일상관광프로그램 2도1촌 진주잇고 (1차),마감,한달살기,경남 진주시,2023년 9월 23일 ~ 2023년 9월 24일,토요일 1박 숙박비(팀당) + K기업가 제품 만들기·다도 체험 + 진주문화융합 밀키트 체험 지원,https://www.masil.io/programs/57240dc5-26b8-4a0e-932e-d8490742acf0
"양구탐험대, 지정기부 발굴 프로젝트",마감,한달살기,강원 양구군,2023.06.23 ~ 2023.07.07,6박7일 숙박비·식비·체험비 등 체류비 일체 지원,https://www.masil.io/programs/e01a252f-7edb-4346-91aa-21c6ebcca855
창원에서 한달살이 (1차),마감,살아보기,경남 창원시,2023.05.01 ~ 2023.05.14,"- 숙박비 1일 50,000원 (팀별)",https://www.masil.io/programs/76690466-ed87-4d30-b177-c3d627508d80
창원에서 한달살이 (2차),마감,살아보기,경남 창원시,2023년 7월 1일 ~ 2023년 9월 15일,"- 숙박비 1일 50,000원 (팀별)",https://www.masil.io/programs/b8200896-4123-4f7e-8f35-5fa88a2c1f0d
창원에서 한달살이 (3차),마감,살아보기,경남 창원시,2023년 9월 1일 ~ 2023년 11월 15일,"- 숙박비 1일 50,000원 (팀별)",https://www.masil.io/programs/3b3346d6-e473-409e-b2f3-78ae314d2abf
2023년 경남형 한 달 여행하기 사업 「여:기 쉼표 행:복 찾아 진주」 (1차),마감,살아보기,경남 진주시,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/74111a49-e68a-4a83-8fae-99d03a7e2590
2023년 경남형 한 달 여행하기 사업 「여:기 쉼표 행:복 찾아 진주」 (2차),마감,살아보기,경남 진주시,2023년 7월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/8349a6eb-852e-43be-96f8-9a3cd932ab96
2023년 경남형 한 달 여행하기 사업 「여:기 쉼표 행:복 찾아 진주」 (3차),마감,살아보기,경남 진주시,2023년 10월 1일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/b30feb67-97b8-430a-9143-4433f0155975
「통영애 온나(경남에서 한 달 여행하기)」 (1차),마감,살아보기,경남 통영시,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/3daa70f0-d151-468b-9ffc-d980c01bdfb6
내가 그린 함양에서 한 달 여행하기 (2차),마감,살아보기,경남 함양군,2023년 6월 1일 ~ 2023년 7월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/c2d8f1f8-44a4-4849-be43-38e9a2586bf4
「통영애 온나(경남에서 한 달 여행하기)」 (2차),마감,살아보기,경남 통영시,2023년 7월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/d5c294bb-bd6b-43c2-84fe-76618f622de0
「통영애 온나(경남에서 한 달 여행하기)」 (3차),마감,살아보기,경남 통영시,2023년 9월 25일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/c5b0e058-8577-41a7-a4de-5655a22b7054
「사천에서 한 달 여행하기」 (1차),마감,살아보기,경남 사천시,2023년 4월 1일 ~ 2023년 5월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/e58d24e5-f914-41a2-8916-9d513a6789f7
「사천에서 한 달 여행하기」 (2차),마감,살아보기,경남 사천시,2023년 7월 1일 ~ 2023년 8월 31일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/758f368f-277e-4615-a7a7-1331c82c5240
"2023 경남에서 한 달 여행하기 「요즘 김해, 지금 여행」 (1차)",마감,살아보기,경남 김해시,2023년 4월 1일 ~ 2023년 6월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/c79fa38d-e0fa-4ac6-acbd-c2f13c0e75ed
